"","log2FoldChange","padj","Factor"
"KXJ06269.1",-2.31477755671056,0.00209198407548439,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06279.1",-1.18840996557049,0.00570199598902339,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06288.1",1.6855767780147,0.00952257139728658,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06290.1",2.01941101371237,0.000320723140877784,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06389.1",1.78777848927817,0.000630631664080766,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06413.1",-1.0162755173094,0.00264311971094959,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06424.1",2.10626812566703,0.000159224770446031,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06443.1",3.11643236263435,0.00690216185604585,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06449.1",-1.95205742269436,0.0030525884432049,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06496.1",2.80374886602227,0.00339525564826534,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06573.1",1.08077025112427,3.35207747527919e-07,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06586.1",2.16478064530592,0.000737237382331671,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06610.1",3.05128459066087,0.00138245015011985,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06627.1",1.90233940359485,0.00163980939953811,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06635.1",2.21088347430856,0.00744254237044415,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06643.1",3.37477051888382,0.000271568520488206,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06656.1",1.84202491403925,0.00326553901258758,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06674.1",3.58225986458666,1.03386141445006e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06695.1",3.80097433893885,0.00463941136116444,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06701.1",1.70329512426346,0.00973811767704054,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06757.1",3.57385609129976,0.00550039702641122,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06793.1",1.62104503675078,0.000103144675343959,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06804.1",-1.55597291216359,0.0063097510000442,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06805.1",-2.01846295472388,0.00036745288228234,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06839.1",4.98495503937183,2.36543797438254e-10,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06846.1",1.71533674442695,0.00128014825774704,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06849.1",1.88794457528596,0.000229075792865817,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06853.1",2.45747766938286,4.08993757211369e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06879.1",2.85947590952336,0.000545257766657081,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06961.1",2.44491887543697,2.63227321729578e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06963.1",1.47368496752317,0.00361797182250173,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ06999.1",1.68849758980671,0.00800303680184005,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ07017.1",-1.8355011669659,0.00440334800870296,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ07019.1",1.93053326118252,1.36584911887766e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ07042.1",1.27095537970654,0.00481799802431908,"Vibrio_Vibrio_vs_NoVibrio"
