"","log2FoldChange","padj"
"KXJ05629.1",2.57291841984363,0.00144160603993674
"KXJ05644.1",1.07081288004145,0.04996041126588
"KXJ05659.1",2.73014740706317,0.00800303680184005
"KXJ05660.1",1.73270683509571,3.51004825231499e-05
"KXJ05669.1",1.33478439882406,0.000875917284933251
"KXJ05671.1",1.2054163807508,0.0195986154861852
"KXJ05680.1",3.69352885902339,0.0204819855064009
"KXJ05681.1",1.66748296546323,0.0172381643414748
"KXJ05699.1",2.93958709724458,0.0285624694032084
"KXJ05700.1",-2.00010389120363,0.00714119949466602
"KXJ05748.1",1.96499075373544,0.00108569958709857
"KXJ05757.1",-1.91061848377432,0.000974038304014847
"KXJ05761.1",0.857205771704244,0.00981645882122223
"KXJ05763.1",4.25412513883483,8.84802992906813e-05
"KXJ05767.1",1.5396782617082,0.0126152578973323
"KXJ05771.1",3.07164430599145,4.19788849845412e-07
"KXJ05772.1",1.69157615634945,0.0319625433336703
"KXJ05780.1",0.784949663234195,0.0308704047567712
"KXJ05793.1",0.900940909555529,0.0418177259499714
"KXJ05809.1",21.4789595887348,3.35624987165656e-11
"KXJ05811.1",0.884889310758022,0.00934382302487473
"KXJ05830.1",0.634803920942052,0.0224971756426067
"KXJ05834.1",2.17816159734919,0.00191235448163662
"KXJ05835.1",-1.30983797531671,0.00112010869896172
"KXJ05841.1",1.03364064648432,0.0134608837594839
"KXJ05865.1",2.57149942751453,0.0365547456304302
"KXJ05871.1",-0.810349999554989,0.040743369383924
"KXJ05877.1",1.84175785652711,0.00745533321202915
"KXJ05884.1",1.70151940740278,0.0133137457406031
"KXJ05915.1",1.13760590335498,0.0172105779532617
"KXJ05934.1",-0.967549418006769,0.00405605336831677
"KXJ05941.1",0.955294098042806,0.0442543802830746
"KXJ05944.1",-2.48624957206944,2.44887669192078e-06
"KXJ05950.1",-0.723443141576957,0.0453091223863892
"KXJ05951.1",1.18328914286708,0.0298138435969399
"KXJ05952.1",1.70278182047694,0.0440932159558478
"KXJ05953.1",-1.47033526496723,0.0105270513238654
"KXJ05958.1",2.69562369247943,6.57046884276967e-06
"KXJ05973.1",3.06305383652049,1.48347475562982e-05
"KXJ05981.1",-1.17552996085715,0.00060767017795591
"KXJ05983.1",1.32401990408867,0.019427308662254
"KXJ05985.1",3.74602999410244,4.84295956955943e-05
"KXJ05996.1",1.70793396359418,0.00970075769966125
"KXJ05997.1",-1.49247014990465,0.00233323165146957
"KXJ06011.1",3.45387506830437,0.000133421495078992
"KXJ06031.1",1.5749557950773,0.0107977267158566
"KXJ06042.1",1.62068701289593,0.0438727836387119
"KXJ06049.1",1.22414629512921,8.10723839335382e-06
"KXJ06051.1",1.81243137296248,0.00560788991565836
"KXJ06057.1",-1.42648759229096,0.0264808599083503
"KXJ06074.1",1.01820069809933,0.0114096874261206
"KXJ06076.1",1.02631222877037,0.000469814007873274
"KXJ06077.1",1.10065576301199,0.0276074788622937
"KXJ06099.1",0.572688214723286,0.044541661971194
"KXJ06102.1",-0.582887222746706,0.0161004181504941
"KXJ06106.1",1.71100415046224,0.000768132044148108
"KXJ06107.1",0.51453192182448,0.0133946381611226
"KXJ06110.1",1.68871924334656,0.000266473830618041
"KXJ06112.1",0.975365739505613,0.0113415657237312
"KXJ06135.1",1.7215953522935,0.0391462363950943
"KXJ06146.1",-1.28135046953389,0.00070107811518866
"KXJ06148.1",-1.29586839241806,0.0468672619416604
"KXJ06150.1",-0.785200914881932,0.0307172773174171
"KXJ06155.1",0.627168461780499,0.00314797781258887
"KXJ06169.1",2.3137540638755,0.00131905405672451
