"","log2FoldChange","padj","Factor"
"KXJ04487.1",5.94189517580871,4.559749860146e-42,"Intercept"
"KXJ04489.1",3.13119598999345,1.19348178949908e-18,"Intercept"
"KXJ04493.1",1.22228990904782,0.0365844628795958,"Intercept"
"KXJ04494.1",2.62971436260798,0.000785357950161756,"Intercept"
"KXJ04495.1",2.75640578023892,8.66137444091201e-08,"Intercept"
"KXJ04500.1",7.21479225366768,1.32339535183538e-148,"Intercept"
"KXJ04501.1",2.69133741693185,1.40697466508418e-08,"Intercept"
"KXJ04503.1",3.51546478179919,6.11935280777311e-08,"Intercept"
"KXJ04506.1",4.49136452850283,4.89718219112313e-96,"Intercept"
"KXJ04515.1",2.77297501686712,4.73155233142905e-07,"Intercept"
"KXJ04516.1",2.63169739287336,0.000803648614916269,"Intercept"
"KXJ04519.1",6.49436592595925,4.41315638492466e-28,"Intercept"
"KXJ04527.1",7.29367377650262,2.17174073378776e-29,"Intercept"
"KXJ04528.1",2.82163895200149,2.68600604082895e-12,"Intercept"
"KXJ04531.1",7.21499091270833,2.93384210785048e-41,"Intercept"
"KXJ04536.1",4.65076385832243,7.55858242860745e-91,"Intercept"
"KXJ04541.1",5.2290525722922,8.83510432313406e-14,"Intercept"
"KXJ04543.1",3.20642047407387,3.42989065455996e-07,"Intercept"
"KXJ04544.1",5.37806363114138,7.61580942322777e-60,"Intercept"
"KXJ04549.1",3.98008597635073,8.03449608268873e-35,"Intercept"
"KXJ04551.1",3.72755612948614,1.23800244129712e-24,"Intercept"
"KXJ04557.1",3.60311596088318,6.51478220145489e-34,"Intercept"
"KXJ04562.1",3.38524419879251,2.69930920590552e-11,"Intercept"
"KXJ04565.1",3.74269281329344,2.8637126767838e-05,"Intercept"
"KXJ04567.1",3.35277250857991,9.26246898670371e-21,"Intercept"
"KXJ04572.1",3.18984351752876,1.53180983227718e-19,"Intercept"
"KXJ04573.1",2.3343291790115,4.36064553237203e-12,"Intercept"
"KXJ04578.1",2.9035021145794,8.24081469262961e-15,"Intercept"
"KXJ04579.1",6.19035118319228,4.02831286628917e-80,"Intercept"
"KXJ04581.1",3.53782784777357,6.29015680813366e-35,"Intercept"
"KXJ04583.1",2.6049852941931,6.57380848079735e-05,"Intercept"
"KXJ04585.1",5.09387352681047,9.39647458949394e-145,"Intercept"
"KXJ04587.1",3.3207967181951,3.63595090793595e-10,"Intercept"
"KXJ04588.1",1.93834610272785,0.0118971763936841,"Intercept"
"KXJ04589.1",3.03870234900465,7.7506215598449e-19,"Intercept"
"KXJ04594.1",2.89809607098948,8.27774684020576e-10,"Intercept"
"KXJ04595.1",1.37325939265871,0.0272592823435097,"Intercept"
"KXJ04597.1",6.47185767569263,2.84141670243769e-107,"Intercept"
"KXJ04599.1",2.65238987806431,2.88980015263117e-13,"Intercept"
"KXJ04601.1",8.21242252397222,0,"Intercept"
"KXJ04606.1",2.85442760121587,0.000266058940578282,"Intercept"
"KXJ04608.1",3.24004559951573,0.000104432218814049,"Intercept"
"KXJ04609.1",5.4854764470962,1.32839041283426e-51,"Intercept"
"KXJ04611.1",1.30678396132591,0.0150869906939894,"Intercept"
"KXJ04614.1",3.86052791106114,3.57270717538044e-50,"Intercept"
