"id","ko"
"ko04510","K17457"
"ko04510","K00907"
"ko04510","K05692"
"ko04510","K04349"
"ko04510","K03853"
"ko04510","K05699"
"ko04510","K06271"
"ko04510","K04437"
"ko04510","K05760"
"ko04510","K06272"
"ko04510","K06273"
"ko04510","K06274"
"ko04510","K05700"
"ko04510","K06275"
"ko04510","K06276"
"ko04510","K04456"
"ko04510","K03083"
"ko04510","K02105"
"ko04510","K02677"
"ko04510","K19662"
"ko04510","K19663"
"ko04510","K05725"
"ko04510","K00922"
"ko04510","K02649"
"ko04510","K01110"
"ko04510","K05730"
"ko04510","K04392"
"ko04510","K07860"
"ko04510","K07861"
"ko04510","K04409"
"ko04510","K04410"
"ko04510","K05733"
"ko04510","K05734"
"ko04510","K05736"
"ko04510","K05735"
"ko04510","K04393"
"ko04510","K05726"
"ko04510","K04438"
"ko04510","K13708"
"ko04510","K06277"
"ko04510","K04353"
"ko04510","K07836"
"ko04510","K04440"
"ko04510","K04448"
"ko04510","K04365"
"ko04510","K06278"
"ko04510","K12958"
"ko04510","K12959"
"ko04510","K05703"
"ko04510","K06279"
"ko04510","K17447"
"ko04510","K17448"
"ko04510","K17449"
"ko04510","K04364"
"ko04510","K03099"
"ko04510","K02833"
"ko04510","K04366"
"ko04510","K04368"
"ko04510","K04371"
"ko04510","K04375"
"ko04510","K04503"
"ko04510","K10151"
"ko04510","K10152"
"ko04510","K16060"
"ko04510","K04725"
"ko04510","K02158"
"ko04510","K02161"
"ko04010","K04344"
"ko04010","K04849"
"ko04010","K04850"
"ko04010","K04851"
"ko04010","K04852"
"ko04010","K04853"
"ko04010","K04854"
"ko04010","K04855"
"ko04010","K04856"
"ko04010","K04857"
"ko04010","K04858"
"ko04010","K04859"
"ko04010","K04860"
"ko04010","K04861"
"ko04010","K04862"
"ko04010","K04863"
"ko04010","K04864"
"ko04010","K04865"
"ko04010","K04866"
"ko04010","K04867"
"ko04010","K04868"
"ko04010","K04869"
"ko04010","K04870"
"ko04010","K04871"
"ko04010","K04872"
"ko04010","K04873"
"ko04010","K04345"
"ko04010","K02677"
"ko04010","K19662"
"ko04010","K19663"
"ko04010","K04346"
"ko04010","K04347"
"ko04010","K04348"
"ko04010","K06268"
"ko04010","K04349"
"ko04010","K12326"
"ko04010","K04350"
"ko04010","K12361"
"ko04010","K12362"
"ko04010","K12363"
"ko04010","K08018"
"ko04010","K08052"
"ko04010","K04352"
"ko04010","K08053"
"ko04010","K04353"
"ko04010","K07836"
"ko04010","K04357"
"ko04010","K08774"
"ko04010","K09784"
"ko04010","K09782"
"ko04010","K18496"
"ko04010","K18497"
"ko04010","K04358"
"ko04010","K22603"
"ko04010","K22429"
"ko04010","K22428"
"ko04010","K05451"
"ko04010","K02582"
"ko04010","K04355"
"ko04010","K04356"
"ko04010","K12457"
"ko04010","K04526"
"ko04010","K05459"
"ko04010","K13769"
"ko04010","K04359"
"ko04010","K17386"
"ko04010","K05450"
"ko04010","K05453"
"ko04010","K05461"
"ko04010","K05454"
"ko04010","K05448"
"ko04010","K16858"
"ko04010","K16859"
"ko04010","K05449"
"ko04010","K05460"
"ko04010","K05465"
"ko04010","K05466"
"ko04010","K05467"
"ko04010","K05462"
"ko04010","K04361"
"ko04010","K05083"
"ko04010","K05084"
"ko04010","K05085"
"ko04010","K04362"
"ko04010","K05093"
"ko04010","K05094"
"ko04010","K05095"
"ko04010","K02583"
"ko04010","K03176"
"ko04010","K04360"
"ko04010","K04527"
"ko04010","K05087"
"ko04010","K04363"
"ko04010","K05089"
"ko04010","K05090"
"ko04010","K05091"
"ko04010","K05092"
"ko04010","K05096"
"ko04010","K05097"
"ko04010","K05098"
"ko04010","K05099"
"ko04010","K05121"
"ko04010","K05103"
"ko04010","K04364"
"ko04010","K03099"
"ko04010","K02833"
"ko04010","K07827"
"ko04010","K07828"
"ko04010","K07829"
"ko04010","K07830"
"ko04010","K07831"
"ko04010","K08845"
"ko04010","K04365"
"ko04010","K04366"
"ko04010","K04368"
"ko04010","K04369"
"ko04010","K04370"
"ko04010","K04371"
"ko04010","K04372"
"ko04010","K04373"
"ko04010","K04374"
"ko04010","K04375"
"ko04010","K04376"
"ko04010","K04377"
"ko04010","K04378"
"ko04010","K04379"
"ko04010","K04380"
"ko04010","K04381"
"ko04010","K16342"
"ko04010","K03156"
"ko04010","K04383"
"ko04010","K04519"
"ko04010","K13375"
"ko04010","K13376"
"ko04010","K13377"
"ko04010","K03158"
"ko04010","K04386"
"ko04010","K04723"
"ko04010","K04674"
"ko04010","K04388"
"ko04010","K04389"
"ko04010","K04390"
"ko04010","K04391"
"ko04010","K04392"
"ko04010","K07860"
"ko04010","K07861"
"ko04010","K04393"
"ko04010","K03171"
"ko04010","K02187"
"ko04010","K03173"
"ko04010","K02308"
"ko04010","K04729"
"ko04010","K04730"
"ko04010","K04733"
"ko04010","K03175"
"ko04010","K04402"
"ko04010","K04403"
"ko04010","K04404"
"ko04010","K04405"
"ko04010","K04406"
"ko04010","K04407"
"ko04010","K04408"
"ko04010","K04409"
"ko04010","K04410"
"ko04010","K04411"
"ko04010","K04412"
"ko04010","K04414"
"ko04010","K04415"
"ko04010","K04416"
"ko04010","K04419"
"ko04010","K04420"
"ko04010","K04421"
"ko04010","K04422"
"ko04010","K04423"
"ko04010","K04424"
"ko04010","K04425"
"ko04010","K04426"
"ko04010","K04427"
"ko04010","K04428"
"ko04010","K04429"
"ko04010","K04430"
"ko04010","K04431"
"ko04010","K04432"
"ko04010","K04433"
"ko04010","K04434"
"ko04010","K04435"
"ko04010","K04436"
"ko04010","K04437"
"ko04010","K04438"
"ko04010","K04439"
"ko04010","K04440"
"ko04010","K04441"
"ko04010","K04442"
"ko04010","K04443"
"ko04010","K04444"
"ko04010","K04445"
"ko04010","K16510"
"ko04010","K05866"
"ko04010","K04446"
"ko04010","K17333"
"ko04010","K04448"
"ko04010","K04449"
"ko04010","K04450"
"ko04010","K04451"
"ko04010","K04452"
"ko04010","K04453"
"ko04010","K04454"
"ko04010","K04455"
"ko04010","K04456"
"ko04010","K04457"
"ko04010","K04458"
"ko04010","K18018"
"ko04010","K18019"
"ko04010","K21278"
"ko04010","K04459"
"ko04010","K21946"
"ko04010","K18498"
"ko04010","K20216"
"ko04010","K17614"
"ko04010","K04460"
"ko04010","K04461"
"ko04010","K03283"
"ko04010","K04462"
"ko04010","K04463"
"ko04010","K04464"
"ko04010","K04465"
"ko04010","K04466"
"ko04010","K04467"
"ko04010","K07209"
"ko04010","K07210"
"ko04010","K04468"
"ko04010","K02580"
"ko04010","K04469"
"ko04010","K04735"
"ko04010","K09253"
"ko04610","K03901"
"ko04610","K01320"
"ko04610","K01314"
"ko04610","K03902"
"ko04610","K01313"
"ko04610","K01328"
"ko04610","K01323"
"ko04610","K01321"
"ko04610","K03900"
"ko04610","K03899"
"ko04610","K03907"
"ko04610","K06557"
"ko04610","K01344"
"ko04610","K03914"
"ko04610","K04235"
"ko04610","K04236"
"ko04610","K03917"
"ko04610","K03906"
"ko04610","K01300"
"ko04610","K03903"
"ko04610","K03904"
"ko04610","K03905"
"ko04610","K01324"
"ko04610","K03898"
"ko04610","K03915"
"ko04610","K03916"
"ko04610","K01315"
"ko04610","K03909"
"ko04610","K03911"
"ko04610","K03912"
"ko04610","K03913"
"ko04610","K03908"
"ko04610","K03982"
"ko04610","K19821"
"ko04610","K01343"
"ko04610","K01348"
"ko04610","K03985"
"ko04610","K03984"
"ko04610","K03983"
"ko04610","K03910"
"ko04610","K01335"
"ko04610","K01334"
"ko04610","K03990"
"ko04610","K03994"
"ko04610","K03995"
"ko04610","K03996"
"ko04610","K03997"
"ko04610","K03998"
"ko04610","K03999"
"ko04610","K04000"
"ko04610","K03986"
"ko04610","K03987"
"ko04610","K03988"
"ko04610","K01330"
"ko04610","K01331"
"ko04610","K03991"
"ko04610","K03992"
"ko04610","K03993"
"ko04610","K01332"
"ko04610","K03989"
"ko04610","K04009"
"ko04610","K19822"
"ko04610","K04011"
"ko04610","K04012"
"ko04610","K06461"
"ko04610","K06464"
"ko04610","K06462"
"ko04610","K04010"
"ko04610","K04004"
"ko04610","K01333"
"ko04610","K04001"
"ko04610","K04006"
"ko04610","K04007"
"ko04610","K04002"
"ko04610","K04003"
"ko04610","K04008"
"ko04610","K17252"
"ko04610","K06251"
"ko05203","K21854"
"ko05203","K05704"
"ko05203","K02833"
"ko05203","K07827"
"ko05203","K07828"
"ko05203","K04371"
"ko05203","K05870"
"ko05203","K04450"
"ko05203","K04374"
"ko05203","K09048"
"ko05203","K09047"
"ko05203","K09049"
"ko05203","K10610"
"ko05203","K16197"
"ko05203","K06630"
"ko05203","K16198"
"ko05203","K11217"
"ko05203","K04692"
"ko05203","K11223"
"ko05203","K11224"
"ko05203","K02187"
"ko05203","K08665"
"ko05203","K00922"
"ko05203","K02649"
"ko05203","K04735"
"ko05203","K09254"
"ko05203","K04469"
"ko05203","K02580"
"ko05203","K04451"
"ko05203","K06626"
"ko05203","K02206"
"ko05203","K12496"
"ko05203","K12497"
"ko05203","K15041"
"ko05203","K22271"
"ko05203","K03159"
"ko05203","K15413"
"ko05203","K12886"
"ko05203","K06625"
"ko05203","K11594"
"ko05203","K16195"
"ko05203","K22273"
"ko05203","K04345"
"ko05203","K11252"
"ko05203","K11254"
"ko05203","K22275"
"ko05203","K02159"
"ko05203","K04364"
"ko05203","K03171"
"ko05203","K02087"
"ko05203","K03120"
"ko05203","K19461"
"ko05203","K19456"
"ko05203","K19457"
"ko05203","K21855"
"ko05203","K21856"
"ko05203","K19458"
"ko05203","K19459"
"ko05203","K19460"
"ko05203","K11838"
"ko05203","K06643"
"ko05203","K06053"
"ko05203","K06063"
"ko05203","K03141"
"ko05203","K03142"
"ko05203","K03143"
"ko05203","K03144"
"ko05203","K03136"
"ko05203","K03137"
"ko05203","K15979"
"ko05203","K04498"
"ko05203","K03124"
"ko05203","K04503"
"ko05203","K10151"
"ko05203","K10152"
